,timestamp,currentLocation,participantId,currentMode,hungerStatus,sleepStatus,apartmentId,availableBalance,jobId,financialStatus,dailyFoodBudget,weeklyExtraBudget
1165444,2022-03-05T00:00:00Z,POINT (-3211.5148348503385 6472.761978335431),796,AtRecreation,BecomingHungry,Awake,1412.0,928.9069659514496,1215,Stable,16,218.262688183007
1165449,2022-03-05T00:00:00Z,POINT (-3909.327245105363 5961.054310795703),801,AtRecreation,BecomingHungry,Awake,1656.0,2584.0754588799023,1289,Stable,16,744.8310087445623
1165453,2022-03-05T00:00:00Z,POINT (-1608.410191285766 3882.1754041927584),805,AtRecreation,BecameFull,Awake,725.0,981.6481790449492,498,Stable,12,245.6736061241664
1165474,2022-03-05T00:00:00Z,POINT (-3903.970480870724 5975.175819623994),826,AtRecreation,BecomingHungry,Awake,1470.0,3039.144152756134,1173,Stable,16,773.8016913870391
1165496,2022-03-05T00:00:00Z,POINT (-1622.7708403919614 3896.6036759576505),849,AtRecreation,BecomingHungry,Awake,1044.0,2526.097407245538,920,Stable,20,1035.950385460161
1165513,2022-03-05T00:00:00Z,POINT (-3221.542333933767 6495.2319662232785),870,AtRecreation,BecomingHungry,Awake,1540.0,1510.9404811594025,1251,Stable,20,743.3442201039918
1165535,2022-03-05T00:00:00Z,POINT (-3806.9602213177177 6368.618943466939),893,AtRecreation,BecameFull,Awake,1710.0,2512.3536496763977,1131,Stable,16,611.2999434441729
1165536,2022-03-05T00:00:00Z,POINT (-3800.8435162428163 6374.351421969606),894,AtRecreation,BecomingHungry,Awake,1718.0,1448.6925018128888,1074,Stable,16,416.85444670620205
1165541,2022-03-05T00:00:00Z,POINT (-224.35580576129794 3883.902918273106),899,AtRecreation,BecomingHungry,Awake,1660.0,2550.2567549560054,1315,Stable,16,590.8759351075455
1165548,2022-03-05T00:00:00Z,POINT (-3901.5443729895264 5968.751729468066),908,AtRecreation,BecameFull,Awake,1520.0,1904.4663712848255,1080,Stable,16,460.8857977821013
1165550,2022-03-05T00:00:00Z,POINT (-237.51313115786158 3867.209348510261),910,AtRecreation,BecomingHungry,PrepareToSleep,1687.0,1298.6086342307149,1118,Stable,16,374.79513966730894
1165555,2022-03-05T00:00:00Z,POINT (-3782.245247793585 6369.763079866289),915,AtRecreation,BecomingHungry,Awake,1394.0,1482.3828547801863,1156,Stable,20,623.6659763365487
1165582,2022-03-05T00:00:00Z,POINT (-3893.122109379538 5964.762111541477),942,AtRecreation,BecomingHungry,Awake,1487.0,1886.148613743003,1150,Stable,20,633.4545605667666
1165583,2022-03-05T00:00:00Z,POINT (-3898.1138057829803 5958.668605742312),943,AtRecreation,BecomingHungry,Awake,1366.0,1983.7920583516263,1176,Stable,16,510.3683162933605
1165584,2022-03-05T00:00:00Z,POINT (-265.2019089204512 5025.590875410542),944,AtRecreation,BecomingHungry,Awake,47.0,2557.6250719449285,130,Stable,20,1012.2682420428628
1165599,2022-03-05T00:00:00Z,POINT (-3893.7515091562673 5973.559020535735),959,AtRecreation,BecomingHungry,Awake,1706.0,1368.6851834351746,1044,Stable,16,286.8571607162273
1165612,2022-03-05T00:00:00Z,POINT (-3799.2893205999526 6356.640313601971),972,AtRecreation,JustAte,Awake,1409.0,1285.107429774425,1078,Stable,16,271.056086986383
1165630,2022-03-05T00:00:00Z,POINT (-3224.3985693112936 6497.044554199695),990,AtRecreation,BecameFull,Awake,1514.0,1125.0977781425083,1172,Stable,20,393.5785673052086
1165633,2022-03-05T00:00:00Z,POINT (1809.430156164981 4330.064606965934),993,AtRecreation,BecomingHungry,Awake,13.0,1847.3466475444936,188,Stable,20,650.9650123983431
1165649,2022-03-05T00:00:00Z,POINT (-1521.1174968069124 3818.356131357976),1009,AtRecreation,JustAte,Awake,663.0,1205.4104739632492,627,Stable,20,448.9595306153597
1165757,2022-03-05T00:05:00Z,POINT (-218.83092727678942 3875.2415848983082),106,AtRecreation,BecomingHungry,Awake,306.0,1559.5251473360713,336,Stable,20,1208.1373515097755
1165829,2022-03-05T00:05:00Z,POINT (756.6977628916661 920.8405932250411),179,AtRecreation,BecameFull,PrepareToSleep,280.0,2012.3864567531316,300,Stable,20,710.7948338015608
1165862,2022-03-05T00:05:00Z,POINT (756.3873075804554 918.0765033979907),212,AtRecreation,BecomingHungry,Awake,9.0,1462.5259991327484,241,Stable,20,534.4746122109498
1165922,2022-03-05T00:05:00Z,POINT (-1760.5608206272063 4347.343503236385),272,AtRestaurant,Hungry,Awake,1031.0,598.1111056292491,409,Stable,20,418.8129473417538
1165927,2022-03-05T00:05:00Z,POINT (-813.4946204710049 4495.205758876432),277,AtRestaurant,Hungry,PrepareToSleep,517.0,699.525731235371,575,Stable,20,381.89199309058665
1165970,2022-03-05T00:05:00Z,POINT (-2122.9425173349337 4281.852109591089),321,AtRestaurant,Starving,PrepareToSleep,609.0,2277.4111781179868,428,Stable,20,1238.4815830808925
1166038,2022-03-05T00:05:00Z,POINT (-2002.6151242428978 3358.0263490186644),392,AtRestaurant,Starving,Awake,,2620.807818143257,975,Unstable,20,0.0
1166056,2022-03-05T00:05:00Z,POINT (-3209.2440117896926 6473.274121276316),410,AtRecreation,BecomingHungry,PrepareToSleep,1405.0,1421.862548015073,958,Stable,12,453.57004481876544
1166082,2022-03-05T00:05:00Z,POINT (-1703.67642001062 3855.470814890407),436,AtRecreation,JustAte,Awake,570.0,1302.3193362086845,567,Stable,20,454.1918270332552
1166108,2022-03-05T00:05:00Z,POINT (-1533.1810012935098 3820.5534540630542),462,AtRecreation,BecomingHungry,Awake,651.0,1047.8901657439378,604,Stable,20,389.9160780095901
1166164,2022-03-05T00:05:00Z,POINT (-3891.189818311103 5964.497321293261),519,AtRecreation,BecameFull,Awake,1112.0,577.2103749136289,717,Stable,20,334.02427473769734
1166191,2022-03-05T00:05:00Z,POINT (-3931.265766673126 5486.981636734297),547,AtRestaurant,Starving,Awake,1692.0,2266.5328206480344,1209,Stable,12,760.4880568072265
1166282,2022-03-05T00:05:00Z,POINT (-516.330011336272 6309.543912423241),647,AtRestaurant,Hungry,PrepareToSleep,,2495.076155942807,1162,Unstable,20,0.0
1166334,2022-03-05T00:05:00Z,POINT (-505.766849407272 6298.574113016552),701,AtRestaurant,Starving,Awake,1013.0,1789.2107172036783,912,Stable,16,337.8115641460861
1166407,2022-03-05T00:05:00Z,POINT (-1608.7370156246666 3881.5426740013004),777,AtRestaurant,Starving,Awake,476.0,697.3177652158736,597,Stable,12,214.88134765918693
1166483,2022-03-05T00:05:00Z,POINT (-4130.727706108982 7236.415852514782),860,AtRestaurant,Starving,Awake,,2305.016012748359,229,Unstable,20,0.0
1166619,2022-03-05T00:05:00Z,POINT (412.94935448990594 1207.4576823333166),1000,AtRestaurant,Hungry,Awake,345.0,2098.3213522928327,32,Stable,20,767.5980187593964
1166649,2022-03-05T00:10:00Z,POINT (967.0062336801503 3981.340927609539),19,AtRecreation,BecameFull,Awake,276.0,2657.587660480148,206,Stable,16,1217.9926536524945
1166805,2022-03-05T00:10:00Z,POINT (693.9110019084428 4403.003611843248),176,AtRestaurant,Starving,Awake,12.0,2391.174371162814,353,Stable,20,1092.3719535668245
1166847,2022-03-05T00:10:00Z,POINT (-1619.3035886830596 3895.198431181127),218,AtRecreation,Hungry,PrepareToSleep,953.0,1039.619704566226,352,Stable,20,387.8969824356377
1166885,2022-03-05T00:10:00Z,POINT (-1979.6387504731986 3378.051229822343),256,AtRestaurant,Starving,Awake,,2255.0451927287872,1220,Unstable,20,0.0
1166917,2022-03-05T00:10:00Z,POINT (-1714.2885095387126 3855.4827291579945),289,AtRecreation,BecameFull,Awake,510.0,2361.868333268608,480,Stable,20,1569.0353095794137
1167008,2022-03-05T00:10:00Z,POINT (-1616.5939833734599 3869.0672812438993),381,AtRestaurant,Hungry,Awake,818.0,940.6901374320104,538,Stable,16,318.24078992467304
1167171,2022-03-05T00:10:00Z,POINT (-4136.071037078145 7248.137408914276),549,AtRestaurant,Hungry,Awake,1555.0,1147.3174148784858,1262,Stable,12,355.4095306394934
1167175,2022-03-05T00:10:00Z,POINT (-505.8064320103921 6301.263206604913),553,AtRestaurant,Starving,Awake,,2226.446992217157,534,Unstable,12,0.0
1167228,2022-03-05T00:10:00Z,POINT (-2001.9598188912262 3361.3068468958745),612,AtRestaurant,Hungry,Awake,801.0,2369.429993501181,733,Stable,12,708.0823705261771
1167289,2022-03-05T00:10:00Z,POINT (-3904.647023159906 5961.056373715029),678,AtRecreation,JustAte,Awake,1020.0,2117.2569106018987,828,Stable,20,804.739721553875
1167309,2022-03-05T00:10:00Z,POINT (-3128.5515640512317 6672.956272027957),698,AtRestaurant,Hungry,Awake,1170.0,2999.748639113424,910,Stable,20,1452.03966273307
1167366,2022-03-05T00:10:00Z,POINT (-3211.6507250684344 6480.702114062227),755,AtRecreation,JustAte,Awake,1164.0,1477.631510091575,992,Stable,16,272.99221547161494
1167384,2022-03-05T00:10:00Z,POINT (-1620.2464768870673 3879.9906357274454),776,AtRestaurant,Starving,Awake,478.0,1773.6479818294283,651,Stable,12,554.6189126850061
1167517,2022-03-05T00:10:00Z,POINT (-4006.396191517199 6664.781252616655),920,AtRestaurant,Hungry,Awake,,2614.1982653278733,337,Unstable,20,0.0
1167528,2022-03-05T00:10:00Z,POINT (-3919.334419551245 5479.8761563181315),931,AtRestaurant,Starving,Awake,1038.0,1265.7337475812308,1298,Stable,20,448.634869184269
1167542,2022-03-05T00:10:00Z,POINT (-3125.6440184871685 6680.484512334143),945,AtRestaurant,Starving,PrepareToSleep,1221.0,2043.605240603189,1032,Stable,20,866.8028240571515
1167557,2022-03-05T00:10:00Z,POINT (-511.1173063407259 6294.799494558145),960,AtRestaurant,Starving,Awake,1257.0,1095.6107694840684,898,Stable,16,239.08538846290105
1167740,2022-03-05T00:15:00Z,POINT (501.11883519582756 1626.3571279388805),133,AtRestaurant,Starving,Awake,297.0,1065.7964493448435,224,Stable,16,386.2403969950586
1167795,2022-03-05T00:15:00Z,POINT (972.3380364358218 3996.4611406012564),188,AtRecreation,BecameFull,PrepareToSleep,378.0,2975.1518264143706,169,Stable,20,2003.583321779188
1167875,2022-03-05T00:15:00Z,POINT (-1609.3441921789306 3887.9666687151653),269,AtRecreation,BecomingHungry,PrepareToSleep,719.0,1617.930503249893,560,Stable,16,546.7669679834677
1167882,2022-03-05T00:15:00Z,POINT (-3918.5813426979284 5505.138075933971),276,AtRestaurant,Starving,Awake,1438.0,2683.994893310044,1163,Stable,12,1049.2040738824553
1167950,2022-03-05T00:15:00Z,POINT (-1524.227967333817 3811.0313075860604),345,AtRecreation,BecomingHungry,PrepareToSleep,814.0,2628.9331652236,375,Stable,16,866.6415400672915
1168121,2022-03-05T00:15:00Z,POINT (-1189.849287614155 5860.2379813345915),521,AtRestaurant,Starving,Awake,920.0,1135.7811467175743,887,Stable,16,317.2602328928612
1168126,2022-03-05T00:15:00Z,POINT (-1162.5684876772618 5861.507728357128),526,AtRestaurant,Hungry,PrepareToSleep,,2258.5992949874258,975,Unstable,20,0.0
1168131,2022-03-05T00:15:00Z,POINT (-3905.181390377844 5966.143054095621),531,AtRecreation,BecomingHungry,Awake,1546.0,946.0726838722884,1203,Stable,12,334.3038954869513
1168239,2022-03-05T00:15:00Z,POINT (-229.07014972206753 3875.1102236369093),650,AtRecreation,BecomingHungry,Awake,1371.0,1804.485549731812,952,Stable,20,1103.3016086046916
1168321,2022-03-05T00:15:00Z,POINT (-3809.219788814792 6363.102410880248),734,AtRecreation,BecomingHungry,PrepareToSleep,1098.0,2537.804950972338,1011,Stable,16,618.7081759388986
1168737,2022-03-05T00:20:00Z,POINT (693.9712337211497 4403.454458437726),155,AtRestaurant,Hungry,Awake,1180.0,3610.442063794643,697,Stable,12,1594.4757793891745
1168811,2022-03-05T00:20:00Z,POINT (975.7727606009951 3985.6311668153667),229,AtRecreation,BecameFull,PrepareToSleep,75.0,2703.6371729269545,98,Stable,20,1624.6780502371262
1168979,2022-03-05T00:20:00Z,POINT (-212.31404292294232 3889.4878213020766),403,AtRecreation,BecameFull,PrepareToSleep,603.0,1945.265131193056,329,Stable,20,891.5092058521789
1168984,2022-03-05T00:20:00Z,POINT (-1603.5817876316023 3884.852818949394),408,AtRecreation,Hungry,Awake,903.0,1157.687764136154,635,Stable,20,521.0857451932216
1169008,2022-03-05T00:20:00Z,POINT (-1515.7220495475203 3824.232800255191),432,AtRecreation,BecomingHungry,PrepareToSleep,809.0,2105.6857457554324,386,Stable,20,785.6952870547069
1169075,2022-03-05T00:20:00Z,POINT (-249.30812475226838 5036.258183515378),499,AtRecreation,BecomingHungry,PrepareToSleep,1388.0,3891.1334609282176,1112,Stable,16,1155.1342490588654
1169133,2022-03-05T00:20:00Z,POINT (696.8845934310846 4393.460724521226),561,AtRestaurant,Hungry,Awake,1631.0,1310.733613747791,1100,Stable,12,367.3032015624898
1169292,2022-03-05T00:20:00Z,POINT (-1701.5444177208985 3871.87294558153),730,AtRecreation,BecomingHungry,Awake,506.0,1254.9398609179118,712,Stable,20,447.8552844328349
1169331,2022-03-05T00:20:00Z,POINT (-3941.8376175299327 5496.093978190948),772,AtRestaurant,Starving,Awake,1634.0,2579.4882029372543,1258,Stable,20,997.0344037156478
1169393,2022-03-05T00:20:00Z,POINT (627.6165647503518 2016.229336854905),838,AtRestaurant,Starving,Awake,351.0,1933.8856986969251,610,Stable,12,572.7474492814524
1169429,2022-03-05T00:20:00Z,POINT (-263.5694919506325 5032.633695226732),879,AtRecreation,BecameFull,PrepareToSleep,1674.0,1636.141616994515,1149,Stable,16,474.2782064607025
1169441,2022-03-05T00:20:00Z,POINT (-3802.7958326943913 6361.403166980218),891,AtRecreation,JustAte,Awake,1544.0,3052.991621319417,1188,Stable,16,735.3111475650499
1169649,2022-03-05T00:25:00Z,POINT (-217.58297908812438 3869.865096073691),91,AtRecreation,BecameFull,Awake,1050.0,988.5268594043536,104,Stable,20,352.72268432595354
1169663,2022-03-05T00:25:00Z,POINT (-224.5960165879026 3865.4092391194413),105,AtRecreation,BecomingHungry,Awake,154.0,1126.4565219315996,334,Stable,20,584.4382624958838
1169858,2022-03-05T00:25:00Z,POINT (-1603.714482128657 3880.2437660504715),303,AtRecreation,BecameFull,Awake,694.0,3667.262417709681,435,Stable,16,1137.4636537159672
1169875,2022-03-05T00:25:00Z,POINT (-1518.454964604723 3803.3020510502474),320,AtRecreation,Hungry,Awake,826.0,2114.2024206929927,494,Stable,16,844.4421368814056
1170029,2022-03-05T00:25:00Z,POINT (-1712.8990708837366 3860.7942419177893),478,AtRecreation,BecomingHungry,Awake,800.0,2978.2806312397,661,Stable,16,792.4248739253939
